DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             1.724               1.846            -0.122         4.411
RESSURF           -1.038              -0.621            -0.417         6.224
SOLIN            338.254             338.254             0.000         0.000
AAM            1.586e+26           1.564e+26         2.255e+24      -999.000
CHI_200            0.004               0.003             0.000         0.591
CLDHGH            29.038              28.774             0.265         2.724
CLDLOW            31.227              31.442            -0.215         1.872
CLDMED            16.045              15.852             0.193         1.909
CLDTOT            49.593              49.626            -0.033         2.353
EKE_850           28.612              28.499             0.113         2.280
EP             2.007e-02           1.811e-02         1.962e-03         0.544
FLNS              60.813              60.370             0.442         2.243
FLNSC             83.027              82.480             0.547         1.781
FLNT             233.046             233.928            -0.883         3.377
FLNTC            262.567             263.243            -0.676         1.340
FSDS             185.529             184.735             0.794         4.680
FSDSC            244.439             243.769             0.670         1.207
FSNS             159.954             160.620            -0.666         5.278
FSNSC            212.609             213.762            -1.153         5.686
FSNSC_ICE         40.001              39.590             0.412         3.492
FSNSC_LAND       190.363             190.015             0.348         2.710
FSNT             234.769             235.774            -1.004         4.927
FSNTC            283.904             285.382            -1.478         5.473
ICEAREA           23.034              22.342             0.691         0.045
LHFLX             82.212              82.880            -0.669         6.700
LWCF              29.521              29.315             0.206         2.699
PRECT              2.794               2.820            -0.026         0.524
PRECT_LAND         2.293               2.265             0.027         0.416
PRECT_OCEAN        3.118               3.166            -0.048         0.582
PREH2O            25.815              26.450            -0.635         1.307
PREH2O_OCEAN      30.378              31.189            -0.812         1.500
PSI_200           -0.020              -0.021             0.001         0.197
PS               985.417             985.479            -0.062         0.786
PSL             1011.156            1011.205            -0.049         0.823
QFLX               2.814               2.838            -0.024         0.200
SHFLX             17.967              17.990            -0.023         2.374
SNOWHLND          12.437              12.403             0.034         1.254
SST               20.664              21.024            -0.360         0.562
STRESS_MAG         0.066               0.065             0.001         0.010
SWCF             -49.134             -49.608             0.473         4.192
T_850            281.936             282.255            -0.319         0.536
TGCLDLWP         129.200             129.968            -0.768        12.978
TGCLDIWP          17.802              17.505             0.298         1.787
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.869             288.172            -0.303         0.567
TS               288.597             288.908            -0.312         0.609
TS_LAND          282.481             282.659            -0.178         0.620
U_200             17.188              16.989             0.199         1.578
VT_850             0.210               0.151             0.059         0.972
Z3_500            56.720              56.801            -0.081         0.132
